slug_fr,slug_en,url_fr,url_en
"guide/paris-design-week-maison-objet","guide/paris-design-week-maison-objet","https://www.nestore.com/guide/paris-design-week-maison-objet","https://www.nestore.com/en/guide/paris-design-week-maison-objet"
"guide/paris-fashion-week-2024-dates-programmes","guidelines-pop-up-shops/paris-fashion-week-dates-programmes","https://www.nestore.com/guide/paris-fashion-week-2024-dates-programmes","https://www.nestore.com/en/guidelines-pop-up-shops/paris-fashion-week-dates-programmes"
"guide/pop-up-store-annees-2000","guide/pop-up-store-annees-2000","https://www.nestore.com/guide/pop-up-store-annees-2000","https://www.nestore.com/en/guide/pop-up-store-annees-2000"
"guide/pop-up-store-effet-mode-avenir-durable","guidelines-pop-up-shops/pop-up-store-trend-or-sustainable-future","https://www.nestore.com/guide/pop-up-store-effet-mode-avenir-durable","https://www.nestore.com/en/guidelines-pop-up-shops/pop-up-store-trend-or-sustainable-future"
"guide/pop-up-store-kesako","guidelines-pop-up-shops/what-is-pop-up-store","https://www.nestore.com/guide/pop-up-store-kesako","https://www.nestore.com/en/guidelines-pop-up-shops/what-is-pop-up-store"
"guide/pop-up-store-un-media","guidelines-pop-up-shops/pop-up-store-is-a-media","https://www.nestore.com/guide/pop-up-store-un-media","https://www.nestore.com/en/guidelines-pop-up-shops/pop-up-store-is-a-media"
"guide/pourquoi-creer-pop-up-store","guidelines-pop-up-shops/why-create-pop-up-store","https://www.nestore.com/guide/pourquoi-creer-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/why-create-pop-up-store"
"guide/quand-organiser-pop-up-store","guidelines-pop-up-shops/when-organize-pop-up-store","https://www.nestore.com/guide/quand-organiser-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/when-organize-pop-up-store"
"guide/quelles-villes-de-france-organiser-pop-up-store","guidelines-pop-up-shops/which-cities-in-france-organize-pop-up-store","https://www.nestore.com/guide/quelles-villes-de-france-organiser-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/which-cities-in-france-organize-pop-up-store"
"guide/rentabilite-et-budget-de-son-pop-up-store","guidelines-pop-up-shops/budget-pop-up-store","https://www.nestore.com/guide/rentabilite-et-budget-de-son-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/budget-pop-up-store"
"rubrique/nos-rencontres","section/our-encounters","https://www.nestore.com/rubrique/nos-rencontres","https://www.nestore.com/en/section/our-encounters"
"rubrique/nos-ressources","section/our-ressources","https://www.nestore.com/rubrique/nos-ressources","https://www.nestore.com/en/section/our-ressources"
"rubrique/tendances-retail","section/retail-trends","https://www.nestore.com/rubrique/tendances-retail","https://www.nestore.com/en/section/retail-trends"
"boutiques-ephemeres-france/bordeaux-sainte-catherine","popup-shops-france/bordeaux-sainte-catherine","https://www.nestore.com/boutiques-ephemeres-france/bordeaux-sainte-catherine","https://www.nestore.com/en/popup-shops-france/bordeaux-sainte-catherine"
"boutiques-ephemeres-france/lyon-place-des-jacobins","popup-shops-france/lyon-place-des-jacobins","https://www.nestore.com/boutiques-ephemeres-france/lyon-place-des-jacobins","https://www.nestore.com/en/popup-shops-france/lyon-place-des-jacobins"
"boutiques-ephemeres-france/marseille-canebiere","popup-shops-france/marseille-canebiere","https://www.nestore.com/boutiques-ephemeres-france/marseille-canebiere","https://www.nestore.com/en/popup-shops-france/marseille-canebiere"
"boutiques-ephemeres-france/pop-up-store-nantes-passage-pommeraye","popup-shops-france/nantes-passage-pommeraye","https://www.nestore.com/boutiques-ephemeres-france/pop-up-store-nantes-passage-pommeraye","https://www.nestore.com/en/popup-shops-france/nantes-passage-pommeraye"
"boutiques-ephemeres-france/vieux-lille-rue-de-la-clef","popup-shops-france/vieux-lille-rue-de-la-clef","https://www.nestore.com/boutiques-ephemeres-france/vieux-lille-rue-de-la-clef","https://www.nestore.com/en/popup-shops-france/vieux-lille-rue-de-la-clef"
"boutiques-ephemeres-france/vieux-lille-rue-de-la-clef","popup-shops-france/vieux-lille-rue-de-la-clef","https://www.nestore.com/boutiques-ephemeres-france/vieux-lille-rue-de-la-clef","https://www.nestore.com/en/popup-shops-france/vieux-lille-rue-de-la-clef"
